time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2023-07-11 09:30:00-04:00,buy,fill,172.0,SPY,stock,,0.0,,440.45001220703125,market,1,0.0
2023-07-19 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-07-19 09:30:00-04:00,sell,fill,172.0,SPY,stock,,0.0,,455.010009765625,market,1,0.0
2023-07-24 09:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-07-24 09:30:00-04:00,buy,fill,172.0,SPY,stock,,0.0,,453.3699951171875,market,1,0.0
2023-07-28 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-07-28 09:30:00-04:00,sell,fill,172.0,SPY,stock,,0.0,,455.8800048828125,market,1,0.0
2023-08-08 09:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-08-08 09:30:00-04:00,buy,fill,174.0,SPY,stock,,0.0,,448.0799865722656,market,1,0.0
2023-08-11 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-08-11 09:30:00-04:00,sell,fill,174.0,SPY,stock,,0.0,,443.9700012207031,market,1,0.0
2023-08-11 09:31:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-08-11 09:31:00-04:00,buy,fill,175.0,SPY,stock,,0.0,,443.9700012207031,market,1,0.0
2023-08-14 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-08-14 09:30:00-04:00,sell,fill,175.0,SPY,stock,,0.0,,444.70001220703125,market,1,0.0
2023-09-01 09:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-09-01 09:30:00-04:00,buy,fill,229.0,SPY,stock,,0.0,,453.1700134277344,market,1,0.0
2023-09-06 09:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2023-09-06 09:30:00-04:00,sell,fill,229.0,SPY,stock,,0.0,,448.3999938964844,market,1,0.0
2023-09-11 09:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2023-09-11 09:30:00-04:00,buy,fill,172.0,SPY,stock,,0.0,,448.239990234375,market,1,0.0
